t,warehouse_num,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shippings_to_warehouses_0,shippings_to_warehouses_1,reward
0,2,-1.2821209413458785,3.0,3.0,8.717879058654121,5.0,5.0,-23.715162346164846
1,2,7.435758117308243,1.0,1.0,8.717879058654121,0.0,0.0,-106.9272564807527
2,2,6.153637175962366,5.0,4.0,8.717879058654121,5.0,5.0,-148.58667858078132
3,2,6.153637175962366,3.0,2.0,0.0,0.0,0.0,343.6927256480753
4,2,6.153637175962366,2.0,0.0,0.0,0.0,0.0,263.6927256480753
5,2,4.871516234616488,4.0,3.0,8.717879058654121,5.0,5.0,55.977563301910436
6,2,4.871516234616488,2.0,1.0,0.0,0.0,0.0,356.25696753076704
7,2,3.5893952932706092,5.0,4.0,8.717879058654121,5.0,5.0,-47.45819481539782
8,2,3.5893952932706092,3.0,3.0,0.0,0.0,0.0,248.82120941345877
9,2,3.5893952932706092,2.0,2.0,0.0,0.0,0.0,162.82120941345877
10,2,7.307274351924731,5.0,-1.0,8.717879058654121,5.0,0.0,99.10604706729393
11,2,2.3072743519247307,4.0,2.0,0.0,0.0,5.0,115.38545129615056
12,2,2.3072743519247307,3.0,1.0,0.0,0.0,0.0,167.38545129615053
13,2,6.025153410578852,2.0,4.0,8.717879058654121,0.0,5.0,-121.32971105001431
14,2,1.0251534105788522,3.0,1.0,0.0,5.0,0.0,630.9496931788423
15,2,4.743032469232974,1.0,5.0,8.717879058654121,0.0,5.0,-118.76546916732255
16,2,8.460911527887095,5.0,4.0,8.717879058654121,5.0,0.0,-217.2012272846308
17,2,8.460911527887095,4.0,2.0,0.0,0.0,0.0,239.07817694422582
18,2,8.460911527887095,2.0,0.0,0.0,0.0,0.0,355.0781769442258
19,2,7.1787905865412185,6.0,3.0,8.717879058654121,5.0,5.0,-148.63698540193903
20,2,7.1787905865412185,5.0,1.0,0.0,0.0,0.0,243.64241882691755
21,2,2.1787905865412185,3.0,4.0,0.0,0.0,5.0,309.64241882691755
22,2,2.1787905865412185,0.0,2.0,0.0,0.0,0.0,459.64241882691755
23,2,5.89666964519534,3.0,0.0,8.717879058654121,5.0,0.0,9.927256480752717
24,2,0.89666964519534,1.0,2.0,0.0,0.0,5.0,426.2066607096093
25,2,4.6145487038494615,4.0,0.0,8.717879058654121,5.0,0.0,8.491498363444478
26,2,8.332427762503583,2.0,3.0,8.717879058654121,0.0,5.0,-23.94425975386377
27,2,3.332427762503583,5.0,2.0,0.0,5.0,0.0,232.33514447499283
28,2,3.332427762503583,4.0,0.0,0.0,0.0,0.0,261.33514447499283
29,2,7.0503068211577045,2.0,3.0,8.717879058654121,0.0,5.0,-21.38001787117201
30,2,2.0503068211577045,6.0,1.0,0.0,5.0,0.0,234.8993863576846
31,2,5.768185879811826,5.0,5.0,8.717879058654121,0.0,5.0,-232.81577598848025
32,2,5.768185879811826,3.0,4.0,0.0,0.0,0.0,238.46362824037635
33,2,5.768185879811826,1.0,2.0,0.0,0.0,0.0,352.46362824037635
34,2,0.768185879811826,5.0,0.0,0.0,5.0,0.0,247.46362824037635
35,2,4.4860649384659474,4.0,3.0,8.717879058654121,0.0,5.0,-120.2515341057885
36,2,4.4860649384659474,1.0,1.0,0.0,0.0,0.0,457.0278701230681
37,2,3.203943997120069,5.0,5.0,8.717879058654121,5.0,5.0,-242.68729222309673
38,2,3.203943997120069,3.0,4.0,0.0,0.0,0.0,243.59211200575987
39,2,3.203943997120069,2.0,2.0,0.0,0.0,0.0,257.5921120057599
40,2,6.92182305577419,5.0,0.0,8.717879058654121,5.0,0.0,-0.12305034040498342
41,2,1.9218230557741904,3.0,4.0,0.0,0.0,5.0,216.15635388845163
42,2,1.9218230557741904,2.0,2.0,0.0,0.0,0.0,260.15635388845163
43,2,5.639702114428312,5.0,1.0,8.717879058654121,5.0,0.0,-97.55880845771323
44,2,0.6397021144283119,2.0,4.0,0.0,0.0,5.0,412.7205957711434
45,2,4.357581173082433,6.0,2.0,8.717879058654121,5.0,0.0,-106.99456657502147
46,2,4.357581173082433,5.0,0.0,0.0,0.0,0.0,255.28483765383513
47,2,8.075460231736555,4.0,3.0,8.717879058654121,0.0,5.0,-127.43032469232972
48,2,8.075460231736555,2.0,1.0,0.0,0.0,0.0,349.8490795365269
49,2,6.793339290390676,6.0,4.0,8.717879058654121,5.0,5.0,-153.86608280963796
